Date,Longitude,Latitude,Model,Scenario,Variable,Value
1952-04-01,-122.6792,45.5208,ens-avg,historical,pr,2.7831814804812893E-5
1952-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.30900968745118E-5
1952-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.573221743456088E-5
1952-07-01,-122.6792,45.5208,ens-avg,historical,pr,4.483850716496818E-6
1952-08-01,-122.6792,45.5208,ens-avg,historical,pr,1.0124001164513174E-5
1952-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.6747782865422778E-5
1952-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.090153040830046E-5
1952-11-01,-122.6792,45.5208,ens-avg,historical,pr,6.59006109344773E-5
1952-12-01,-122.6792,45.5208,ens-avg,historical,pr,7.376743451459333E-5
1953-01-01,-122.6792,45.5208,ens-avg,historical,pr,6.678232603007928E-5
1953-02-01,-122.6792,45.5208,ens-avg,historical,pr,5.2380804845597595E-5
1953-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.4713407987728715E-5
1953-04-01,-122.6792,45.5208,ens-avg,historical,pr,3.076795837841928E-5
1953-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.194095213781111E-5
1953-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.6535881513846107E-5
1953-07-01,-122.6792,45.5208,ens-avg,historical,pr,4.924944278172916E-6
1953-08-01,-122.6792,45.5208,ens-avg,historical,pr,8.676916877448093E-6
1953-09-01,-122.6792,45.5208,ens-avg,historical,pr,2.012132972595282E-5
1953-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.5880533687304705E-5
1953-11-01,-122.6792,45.5208,ens-avg,historical,pr,6.427584594348446E-5
1953-12-01,-122.6792,45.5208,ens-avg,historical,pr,6.481271702796221E-5
1954-01-01,-122.6792,45.5208,ens-avg,historical,pr,6.819223199272528E-5
1954-02-01,-122.6792,45.5208,ens-avg,historical,pr,4.809211168321781E-5
1954-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.055945100844838E-5
1954-04-01,-122.6792,45.5208,ens-avg,historical,pr,2.7316496925777756E-5
1954-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.0358806068543345E-5
1954-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.4781266145291738E-5
1954-07-01,-122.6792,45.5208,ens-avg,historical,pr,4.077266567037441E-6
1954-08-01,-122.6792,45.5208,ens-avg,historical,pr,1.003492343443213E-5
1954-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.7663283870206214E-5
1954-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.4326090826652944E-5
1954-11-01,-122.6792,45.5208,ens-avg,historical,pr,5.607468119706027E-5
1954-12-01,-122.6792,45.5208,ens-avg,historical,pr,7.054934394545853E-5
1955-01-01,-122.6792,45.5208,ens-avg,historical,pr,5.8258148783352226E-5
1955-02-01,-122.6792,45.5208,ens-avg,historical,pr,4.5910146582173184E-5
1955-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.7532263124594465E-5
1955-04-01,-122.6792,45.5208,ens-avg,historical,pr,2.9383345463429578E-5
1955-05-01,-122.6792,45.5208,ens-avg,historical,pr,1.9286060705780983E-5
1955-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.463971784687601E-5
1955-07-01,-122.6792,45.5208,ens-avg,historical,pr,4.257071395841194E-6
1955-08-01,-122.6792,45.5208,ens-avg,historical,pr,6.496216428786283E-6
1955-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.8468437701812945E-5
1955-10-01,-122.6792,45.5208,ens-avg,historical,pr,2.766898978734389E-5
1955-11-01,-122.6792,45.5208,ens-avg,historical,pr,6.627333641517907E-5
1955-12-01,-122.6792,45.5208,ens-avg,historical,pr,6.348344322759658E-5
1956-01-01,-122.6792,45.5208,ens-avg,historical,pr,6.1858503613621E-5
1956-02-01,-122.6792,45.5208,ens-avg,historical,pr,5.338635673979297E-5
1956-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.4365482608554885E-5
1956-04-01,-122.6792,45.5208,ens-avg,historical,pr,2.907957423303742E-5
1956-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.2224034182727337E-5
1956-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.4228741747501772E-5
1956-07-01,-122.6792,45.5208,ens-avg,historical,pr,4.675606760429218E-6
1956-08-01,-122.6792,45.5208,ens-avg,historical,pr,6.852560545667075E-6
1956-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.6979760403046384E-5
1956-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.75465679098852E-5
1956-11-01,-122.6792,45.5208,ens-avg,historical,pr,5.91770040045958E-5
1956-12-01,-122.6792,45.5208,ens-avg,historical,pr,6.204296369105577E-5
1957-01-01,-122.6792,45.5208,ens-avg,historical,pr,6.878234853502363E-5
1957-02-01,-122.6792,45.5208,ens-avg,historical,pr,4.946376066072844E-5
1957-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.198688475298695E-5
1957-04-01,-122.6792,45.5208,ens-avg,historical,pr,2.5512093998258933E-5
1957-05-01,-122.6792,45.5208,ens-avg,historical,pr,1.8712036762735806E-5
1957-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.656244057812728E-5
1957-07-01,-122.6792,45.5208,ens-avg,historical,pr,6.053395281924168E-6
1957-08-01,-122.6792,45.5208,ens-avg,historical,pr,8.757374416745733E-6
1957-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.794062882254366E-5
1957-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.1263545679394156E-5
1957-11-01,-122.6792,45.5208,ens-avg,historical,pr,6.597885658266023E-5
1957-12-01,-122.6792,45.5208,ens-avg,historical,pr,7.573932089144364E-5
1958-01-01,-122.6792,45.5208,ens-avg,historical,pr,6.867555930512026E-5
1958-02-01,-122.6792,45.5208,ens-avg,historical,pr,4.418304160935804E-5
1958-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.0863422327674925E-5
1958-04-01,-122.6792,45.5208,ens-avg,historical,pr,3.473961623967625E-5
1958-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.2470192561740987E-5
1958-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.5794506907695904E-5
1958-07-01,-122.6792,45.5208,ens-avg,historical,pr,4.797286237590015E-6
1958-08-01,-122.6792,45.5208,ens-avg,historical,pr,1.1025515050278045E-5
1958-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.9953333321609534E-5
1958-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.515497155603953E-5
1958-11-01,-122.6792,45.5208,ens-avg,historical,pr,6.174731970531866E-5
1958-12-01,-122.6792,45.5208,ens-avg,historical,pr,6.431662040995434E-5
1959-01-01,-122.6792,45.5208,ens-avg,historical,pr,5.953613799647428E-5
1959-02-01,-122.6792,45.5208,ens-avg,historical,pr,5.1646526117110625E-5
1959-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.3477717554196715E-5
1959-04-01,-122.6792,45.5208,ens-avg,historical,pr,2.8885629944852553E-5
1959-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.1288642528816126E-5
1959-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.542105383123271E-5
1959-07-01,-122.6792,45.5208,ens-avg,historical,pr,5.3281128202797845E-6
1959-08-01,-122.6792,45.5208,ens-avg,historical,pr,1.3093051165924408E-5
1959-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.790517671906855E-5
1959-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.50894988514483E-5
1959-11-01,-122.6792,45.5208,ens-avg,historical,pr,6.195152673171833E-5
1959-12-01,-122.6792,45.5208,ens-avg,historical,pr,6.451032822951674E-5
1960-01-01,-122.6792,45.5208,ens-avg,historical,pr,6.41028891550377E-5
1960-02-01,-122.6792,45.5208,ens-avg,historical,pr,5.294670700095594E-5
1960-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.568078293232247E-5
1960-04-01,-122.6792,45.5208,ens-avg,historical,pr,3.19483588100411E-5
1960-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.3004035028861836E-5
1960-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.584969140822068E-5
1960-07-01,-122.6792,45.5208,ens-avg,historical,pr,3.6737528716912493E-6
1960-08-01,-122.6792,45.5208,ens-avg,historical,pr,1.1644473488559015E-5
1960-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.8906048353528604E-5
1960-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.2308485970133916E-5
1960-11-01,-122.6792,45.5208,ens-avg,historical,pr,6.082105392124504E-5
1960-12-01,-122.6792,45.5208,ens-avg,historical,pr,6.947523797862232E-5
1961-01-01,-122.6792,45.5208,ens-avg,historical,pr,7.2790528065525E-5
1961-02-01,-122.6792,45.5208,ens-avg,historical,pr,5.682228220393881E-5
1961-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.1449595300946385E-5
1961-04-01,-122.6792,45.5208,ens-avg,historical,pr,2.650625719979871E-5
1961-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.537852560635656E-5
1961-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.502564555266872E-5
1961-07-01,-122.6792,45.5208,ens-avg,historical,pr,6.086713256081566E-6
1961-08-01,-122.6792,45.5208,ens-avg,historical,pr,1.1005394298990723E-5
1961-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.7785099771572277E-5
1961-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.442125307628885E-5
1961-11-01,-122.6792,45.5208,ens-avg,historical,pr,5.562638398259878E-5
1961-12-01,-122.6792,45.5208,ens-avg,historical,pr,7.232456846395507E-5
1962-01-01,-122.6792,45.5208,ens-avg,historical,pr,5.755258462158963E-5
1962-02-01,-122.6792,45.5208,ens-avg,historical,pr,4.889516276307404E-5
1962-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.643956708605401E-5
1962-04-01,-122.6792,45.5208,ens-avg,historical,pr,3.2019615900935605E-5
1962-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.138615309377201E-5
1962-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.3765647054242436E-5
1962-07-01,-122.6792,45.5208,ens-avg,historical,pr,5.011663688492263E-6
1962-08-01,-122.6792,45.5208,ens-avg,historical,pr,9.853471965470817E-6
1962-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.8624705262482166E-5
1962-10-01,-122.6792,45.5208,ens-avg,historical,pr,2.8943055440322496E-5
1962-11-01,-122.6792,45.5208,ens-avg,historical,pr,6.612977449549362E-5
1962-12-01,-122.6792,45.5208,ens-avg,historical,pr,6.660991493845358E-5
1963-01-01,-122.6792,45.5208,ens-avg,historical,pr,6.256512278923765E-5
1963-02-01,-122.6792,45.5208,ens-avg,historical,pr,5.0130598538089544E-5
1963-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.548575452645309E-5
1963-04-01,-122.6792,45.5208,ens-avg,historical,pr,3.322343764011748E-5
1963-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.2386348064173944E-5
1963-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.4006899618834723E-5
1963-07-01,-122.6792,45.5208,ens-avg,historical,pr,4.826295480597764E-6
1963-08-01,-122.6792,45.5208,ens-avg,historical,pr,9.879449862637557E-6
1963-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.8391108824289404E-5
1963-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.3046566386474296E-5
1963-11-01,-122.6792,45.5208,ens-avg,historical,pr,6.048712020856328E-5
1963-12-01,-122.6792,45.5208,ens-avg,historical,pr,7.28166924091056E-5
1964-01-01,-122.6792,45.5208,ens-avg,historical,pr,6.549953104695305E-5
1964-02-01,-122.6792,45.5208,ens-avg,historical,pr,4.964989057043567E-5
1964-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.38362912973389E-5
1964-04-01,-122.6792,45.5208,ens-avg,historical,pr,3.439098873059265E-5
1964-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.177974602091126E-5
1964-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.4235636626835912E-5
1964-07-01,-122.6792,45.5208,ens-avg,historical,pr,4.130689376324881E-6
1964-08-01,-122.6792,45.5208,ens-avg,historical,pr,8.394823453272693E-6
1964-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.620893453946337E-5
1964-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.912396641680971E-5
1964-11-01,-122.6792,45.5208,ens-avg,historical,pr,6.167089304653928E-5
1964-12-01,-122.6792,45.5208,ens-avg,historical,pr,6.256351480260491E-5
1965-01-01,-122.6792,45.5208,ens-avg,historical,pr,6.592124555027112E-5
1965-02-01,-122.6792,45.5208,ens-avg,historical,pr,4.20896612922661E-5
1965-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.180261748842895E-5
1965-04-01,-122.6792,45.5208,ens-avg,historical,pr,2.7682222935254686E-5
1965-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.2583386453334242E-5
1965-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.6845458958414383E-5
1965-07-01,-122.6792,45.5208,ens-avg,historical,pr,6.6877223616756964E-6
1965-08-01,-122.6792,45.5208,ens-avg,historical,pr,9.507146387477405E-6
1965-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.687220537860412E-5
1965-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.342252239235677E-5
1965-11-01,-122.6792,45.5208,ens-avg,historical,pr,5.998366395942867E-5
1965-12-01,-122.6792,45.5208,ens-avg,historical,pr,6.734022463206202E-5
1966-01-01,-122.6792,45.5208,ens-avg,historical,pr,6.358292739605531E-5
1966-02-01,-122.6792,45.5208,ens-avg,historical,pr,4.446473758434877E-5
1966-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.325970076024532E-5
1966-04-01,-122.6792,45.5208,ens-avg,historical,pr,3.0157698347466066E-5
1966-05-01,-122.6792,45.5208,ens-avg,historical,pr,1.8196964447270148E-5
1966-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.6755564502091147E-5
1966-07-01,-122.6792,45.5208,ens-avg,historical,pr,5.988516022625845E-6
1966-08-01,-122.6792,45.5208,ens-avg,historical,pr,8.084958608378656E-6
1966-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.789769157767296E-5
1966-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.441599983489141E-5
1966-11-01,-122.6792,45.5208,ens-avg,historical,pr,5.708355092792772E-5
1966-12-01,-122.6792,45.5208,ens-avg,historical,pr,6.794668297516182E-5
1967-01-01,-122.6792,45.5208,ens-avg,historical,pr,5.097638859297149E-5
1967-02-01,-122.6792,45.5208,ens-avg,historical,pr,5.104512456455268E-5
1967-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.203496064292267E-5
1967-04-01,-122.6792,45.5208,ens-avg,historical,pr,3.417109837755561E-5
1967-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.0172734366497025E-5
1967-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.3834198398399167E-5
1967-07-01,-122.6792,45.5208,ens-avg,historical,pr,5.326668542693369E-6
1967-08-01,-122.6792,45.5208,ens-avg,historical,pr,1.0319678040104918E-5
1967-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.8680319044506177E-5
1967-10-01,-122.6792,45.5208,ens-avg,historical,pr,2.8503238354460336E-5
1967-11-01,-122.6792,45.5208,ens-avg,historical,pr,6.279219087446108E-5
1967-12-01,-122.6792,45.5208,ens-avg,historical,pr,7.272299262695014E-5
1968-01-01,-122.6792,45.5208,ens-avg,historical,pr,5.991652506054379E-5
1968-02-01,-122.6792,45.5208,ens-avg,historical,pr,5.3877432947047055E-5
1968-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.077835910720751E-5
1968-04-01,-122.6792,45.5208,ens-avg,historical,pr,3.097633089055307E-5
1968-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.434812267892994E-5
1968-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.5267016351572238E-5
1968-07-01,-122.6792,45.5208,ens-avg,historical,pr,5.4316983550961595E-6
1968-08-01,-122.6792,45.5208,ens-avg,historical,pr,1.1963587894570082E-5
1968-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.787814835552126E-5
1968-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.7880836316617206E-5
1968-11-01,-122.6792,45.5208,ens-avg,historical,pr,5.715066072298214E-5
1968-12-01,-122.6792,45.5208,ens-avg,historical,pr,7.39823080948554E-5
1969-01-01,-122.6792,45.5208,ens-avg,historical,pr,6.88811851432547E-5
1969-02-01,-122.6792,45.5208,ens-avg,historical,pr,4.353011172497645E-5
1969-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.2568062781356275E-5
1969-04-01,-122.6792,45.5208,ens-avg,historical,pr,2.7762998797697946E-5
1969-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.5551989892846905E-5
1969-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.7624061001697555E-5
1969-07-01,-122.6792,45.5208,ens-avg,historical,pr,5.077651167084696E-6
1969-08-01,-122.6792,45.5208,ens-avg,historical,pr,8.429068657278549E-6
1969-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.6003272321540862E-5
1969-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.284429112682119E-5
1969-11-01,-122.6792,45.5208,ens-avg,historical,pr,6.467139610322192E-5
1969-12-01,-122.6792,45.5208,ens-avg,historical,pr,7.704498420935124E-5
1970-01-01,-122.6792,45.5208,ens-avg,historical,pr,5.700989277102053E-5
1970-02-01,-122.6792,45.5208,ens-avg,historical,pr,4.394746065372601E-5
1970-03-01,-122.6792,45.5208,ens-avg,historical,pr,3.8792830309830606E-5
1970-04-01,-122.6792,45.5208,ens-avg,historical,pr,3.0482538932119496E-5
1970-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.4220720661105588E-5
1970-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.705965041765012E-5
1970-07-01,-122.6792,45.5208,ens-avg,historical,pr,6.224586741154781E-6
1970-08-01,-122.6792,45.5208,ens-avg,historical,pr,8.796168913249858E-6
1970-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.4443884538195562E-5
1970-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.212712545064278E-5
1970-11-01,-122.6792,45.5208,ens-avg,historical,pr,6.769158790120855E-5
1970-12-01,-122.6792,45.5208,ens-avg,historical,pr,7.191298936959356E-5
1971-01-01,-122.6792,45.5208,ens-avg,historical,pr,6.0142268921481445E-5
1971-02-01,-122.6792,45.5208,ens-avg,historical,pr,4.6606382966274396E-5
1971-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.1084331314777955E-5
1971-04-01,-122.6792,45.5208,ens-avg,historical,pr,2.8538568585645407E-5
1971-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.222142393293325E-5
1971-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.6521282304893248E-5
1971-07-01,-122.6792,45.5208,ens-avg,historical,pr,4.161525794188492E-6
1971-08-01,-122.6792,45.5208,ens-avg,historical,pr,9.856570613919757E-6
1971-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.6909179976209998E-5
1971-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.280477903899737E-5
1971-11-01,-122.6792,45.5208,ens-avg,historical,pr,6.578912871191278E-5
1971-12-01,-122.6792,45.5208,ens-avg,historical,pr,6.740829849150032E-5
1972-01-01,-122.6792,45.5208,ens-avg,historical,pr,7.58817041059956E-5
1972-02-01,-122.6792,45.5208,ens-avg,historical,pr,4.5822042011423036E-5
1972-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.851448829867877E-5
1972-04-01,-122.6792,45.5208,ens-avg,historical,pr,2.9555438231909648E-5
1972-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.2454632926383056E-5
1972-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.661261558183469E-5
1972-07-01,-122.6792,45.5208,ens-avg,historical,pr,5.535138825507602E-6
1972-08-01,-122.6792,45.5208,ens-avg,historical,pr,9.756357030710205E-6
1972-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.592159242136404E-5
1972-10-01,-122.6792,45.5208,ens-avg,historical,pr,2.999031676154118E-5
1972-11-01,-122.6792,45.5208,ens-avg,historical,pr,6.182355718920007E-5
1972-12-01,-122.6792,45.5208,ens-avg,historical,pr,7.515554170822725E-5
1973-01-01,-122.6792,45.5208,ens-avg,historical,pr,6.355436926241964E-5
1973-02-01,-122.6792,45.5208,ens-avg,historical,pr,4.47529018856585E-5
1973-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.087224442628212E-5
1973-04-01,-122.6792,45.5208,ens-avg,historical,pr,3.189308336004615E-5
1973-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.1048081180197187E-5
1973-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.3633489288622513E-5
1973-07-01,-122.6792,45.5208,ens-avg,historical,pr,5.300148586684372E-6
1973-08-01,-122.6792,45.5208,ens-avg,historical,pr,1.0333823411201593E-5
1973-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.8197026292909868E-5
1973-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.1452971597900614E-5
1973-11-01,-122.6792,45.5208,ens-avg,historical,pr,5.7790439313976094E-5
1973-12-01,-122.6792,45.5208,ens-avg,historical,pr,6.919876614119858E-5
1974-01-01,-122.6792,45.5208,ens-avg,historical,pr,6.255970220081508E-5
1974-02-01,-122.6792,45.5208,ens-avg,historical,pr,4.68028083560057E-5
1974-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.6182591177057475E-5
1974-04-01,-122.6792,45.5208,ens-avg,historical,pr,3.0393559427466244E-5
1974-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.4215358280343935E-5
1974-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.7404712707502767E-5
1974-07-01,-122.6792,45.5208,ens-avg,historical,pr,5.867910203960491E-6
1974-08-01,-122.6792,45.5208,ens-avg,historical,pr,8.171744411811233E-6
1974-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.710435753921047E-5
1974-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.0117180358502083E-5
1974-11-01,-122.6792,45.5208,ens-avg,historical,pr,6.136092270025983E-5
1974-12-01,-122.6792,45.5208,ens-avg,historical,pr,6.604550435440615E-5
1975-01-01,-122.6792,45.5208,ens-avg,historical,pr,6.019821739755571E-5
1975-02-01,-122.6792,45.5208,ens-avg,historical,pr,4.9695947382133454E-5
1975-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.555105260806158E-5
1975-04-01,-122.6792,45.5208,ens-avg,historical,pr,3.070514139835723E-5
1975-05-01,-122.6792,45.5208,ens-avg,historical,pr,2.125945502484683E-5
1975-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.7131687854998745E-5
1975-07-01,-122.6792,45.5208,ens-avg,historical,pr,7.901277967903297E-6
1975-08-01,-122.6792,45.5208,ens-avg,historical,pr,1.0656560334609821E-5
1975-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.949208126461599E-5
1975-10-01,-122.6792,45.5208,ens-avg,historical,pr,2.978105294459965E-5
1975-11-01,-122.6792,45.5208,ens-avg,historical,pr,5.937657260801643E-5
1975-12-01,-122.6792,45.5208,ens-avg,historical,pr,7.028006803011522E-5
1976-01-01,-122.6792,45.5208,ens-avg,historical,pr,6.45754553261213E-5
1976-02-01,-122.6792,45.5208,ens-avg,historical,pr,4.564091796055436E-5
1976-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.617076774593443E-5
1976-04-01,-122.6792,45.5208,ens-avg,historical,pr,3.069986996706575E-5
1976-05-01,-122.6792,45.5208,ens-avg,historical,pr,1.9643173800432123E-5
1976-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.3846185538568534E-5
1976-07-01,-122.6792,45.5208,ens-avg,historical,pr,5.378612968343077E-6
1976-08-01,-122.6792,45.5208,ens-avg,historical,pr,8.421460734098218E-6
1976-09-01,-122.6792,45.5208,ens-avg,historical,pr,2.002865403483156E-5
1976-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.372639184817672E-5
1976-11-01,-122.6792,45.5208,ens-avg,historical,pr,6.898628635099158E-5
1976-12-01,-122.6792,45.5208,ens-avg,historical,pr,6.803928408771753E-5
1977-01-01,-122.6792,45.5208,ens-avg,historical,pr,6.0302936617517844E-5
1977-02-01,-122.6792,45.5208,ens-avg,historical,pr,4.8783465899759904E-5
1977-03-01,-122.6792,45.5208,ens-avg,historical,pr,3.86666324629914E-5
1977-04-01,-122.6792,45.5208,ens-avg,historical,pr,2.95611080218805E-5
1977-05-01,-122.6792,45.5208,ens-avg,historical,pr,1.8407818060950376E-5
1977-06-01,-122.6792,45.5208,ens-avg,historical,pr,1.6435120414826088E-5
1977-07-01,-122.6792,45.5208,ens-avg,historical,pr,4.559630269795889E-6
1977-08-01,-122.6792,45.5208,ens-avg,historical,pr,9.724083611217793E-6
1977-09-01,-122.6792,45.5208,ens-avg,historical,pr,1.486931159888627E-5
1977-10-01,-122.6792,45.5208,ens-avg,historical,pr,3.7898313166806474E-5
1977-11-01,-122.6792,45.5208,ens-avg,historical,pr,6.901300366735086E-5
1977-12-01,-122.6792,45.5208,ens-avg,historical,pr,6.693368050036952E-5
1978-01-01,-122.6792,45.5208,ens-avg,historical,pr,6.82701647747308E-5
1978-02-01,-122.6792,45.5208,ens-avg,historical,pr,5.510390838026069E-5
1978-03-01,-122.6792,45.5208,ens-avg,historical,pr,4.444293517735787E-5
